tester,site_type,name_of_sampling_location,7_day_average_of_sars-cov-2_concentration,number_of_samples_in_the_last_7_days,sars-cov-2_detected,sample_collection_date,units_(measuring_concentration),city_of_sampling_location,state_of_sampling_location,county_of_sampling_location,date_data_last_updated,date,source
BioBot,Municipal,Brockton/ Abington,634985.4649727537,3,Detected,2023-10-12T00:00:00Z,copies/L,Brockton,MA,Plymouth,2024-07-24T00:00:00Z,2023-10-12,arch
BioBot,Municipal,MWRA Northern,526610.4979285714,7,Detected,2022-09-22T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2022-09-22,arch
BioBot,Municipal,Pittsfield WWTP,853345.4927748947,4,Detected,2023-09-14T00:00:00Z,copies/L,Pittsfield,MA,Berkshire,2024-07-24T00:00:00Z,2023-09-14,arch
BioBot,Municipal,SESD-Peabody Metering Station,661613.2892750001,4,Detected,2022-01-31T00:00:00Z,copies/L,Salem,MA,Essex,2024-07-24T00:00:00Z,2022-01-31,arch
BioBot,Municipal,MWRA Northern,2027530.4007142857,7,Detected,2022-12-31T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2022-12-31,arch
BioBot,Municipal,Fitchburg Public Works,264837.6599395916,4,Detected,2024-03-27T00:00:00Z,copies/L,Fitchburg,MA,Worcester,2024-07-24T00:00:00Z,2024-03-27,arch
BioBot,Municipal,SESD-Peabody Metering Station,258131.903275,4,Detected,2022-02-10T00:00:00Z,copies/L,Salem,MA,Essex,2024-07-24T00:00:00Z,2022-02-10,arch
BioBot,Municipal,Greater Lawrence Sanitary District,246350.012375,4,Detected,2022-03-30T00:00:00Z,copies/L,North Andover,MA,Essex,2024-07-24T00:00:00Z,2022-03-30,arch
BioBot,Municipal,Greater Lawrence Sanitary District,1345346.324975,4,Detected,2022-06-01T00:00:00Z,copies/L,North Andover,MA,Essex,2024-07-24T00:00:00Z,2022-06-01,arch
BioBot,Municipal,South Hadley Div. of WPC,806965.090294668,5,Detected,2023-11-22T00:00:00Z,copies/L,Chicopee,MA,Hampden,2024-07-24T00:00:00Z,2023-11-22,arch
BioBot,Municipal,SESD-Peabody/Salem Pump,666496.788125,4,Detected,2022-06-26T00:00:00Z,copies/L,Salem,MA,Essex,2024-07-24T00:00:00Z,2022-06-26,arch
BioBot,Municipal,MWRA Northern,627746.2003999999,7,Detected,2022-09-12T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2022-09-12,arch
BioBot,Municipal,Plymouth Headworks Influent,1006877.5131,3,Detected,2023-02-16T00:00:00Z,copies/L,Plymouth,MA,Plymouth,2024-07-24T00:00:00Z,2023-02-16,arch
BioBot,Municipal,SESD-Peabody/Salem Pump,953393.967925,4,Detected,2022-07-08T00:00:00Z,copies/L,Salem,MA,Essex,2024-07-24T00:00:00Z,2022-07-08,arch
BioBot,Municipal,MWRA Northern,487217.6150376823,7,Detected,2023-11-28T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2023-11-28,arch
BioBot,Municipal,Upper Blackstone Clean Water,612113.7533297443,4,Detected,2023-11-15T00:00:00Z,copies/L,Worcester,MA,Worcester,2024-07-24T00:00:00Z,2023-11-15,arch
BioBot,Municipal,MWRA Northern,959012.6459428573,7,Detected,2020-12-29T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2020-12-29,arch
BioBot,Municipal,Uxbridge WWTF,722817.312375,4,Detected,2022-06-23T00:00:00Z,copies/L,Uxbridge,MA,Worcester,2024-07-24T00:00:00Z,2022-06-23,arch
BioBot,Municipal,MWRA Southern,531783.6702857142,7,Detected,2022-04-12T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2022-04-12,arch
BioBot,Municipal,MWRA Southern,655244.0654857142,7,Detected,2022-07-24T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2022-07-24,arch
BioBot,Municipal,MWRA Northern,582103.1824428571,7,Detected,2022-09-03T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2022-09-03,arch
BioBot,Municipal,Billerica Treatment Plant,175884.08946666666,3,Detected,2023-05-05T00:00:00Z,copies/L,Billerica,MA,Middlesex,2024-07-24T00:00:00Z,2023-05-05,arch
BioBot,Municipal,SESD-Peabody/Salem Pump,2881607.4754708437,4,Detected,2024-02-04T00:00:00Z,copies/L,Salem,MA,Essex,2024-07-24T00:00:00Z,2024-02-04,arch
BioBot,Municipal,Haverhill WWTP,665050.8738000001,3,Detected,2021-10-20T00:00:00Z,copies/L,Haverhill,MA,Essex,2024-07-24T00:00:00Z,2021-10-20,arch
BioBot,Municipal,Amherst WWTP,442492.4722,4,Detected,2022-06-30T00:00:00Z,copies/L,Hadley,MA,Hampshire,2024-07-24T00:00:00Z,2022-06-30,arch
BioBot,Municipal,MWRA Southern,1071943.8188,7,Detected,2022-12-01T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2022-12-01,arch
BioBot,Municipal,MWRA Southern,415613.2571446852,7,Detected,2023-10-18T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2023-10-18,arch
BioBot,Municipal,MWRA Southern,46043.959551428576,7,Detected,2020-09-16T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2020-09-16,arch
BioBot,Municipal,Montague Clean Water Facility,393866.8204,2,Detected,2023-06-07T00:00:00Z,copies/L,Montague,MA,Franklin,2024-07-24T00:00:00Z,2023-06-07,arch
BioBot,Municipal,South Hadley Div. of WPC,506946.29165,4,Detected,2022-04-13T00:00:00Z,copies/L,Chicopee,MA,Hampden,2024-07-24T00:00:00Z,2022-04-13,arch
BioBot,Municipal,MWRA Northern,394051.7232142856,7,Detected,2020-11-23T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2020-11-23,arch
BioBot,Municipal,MWRA Southern,1658820.3677142856,7,Detected,2022-12-22T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2022-12-22,arch
BioBot,Municipal,Fitchburg Public Works,886492.0042,4,Detected,2022-06-08T00:00:00Z,copies/L,Fitchburg,MA,Worcester,2024-07-24T00:00:00Z,2022-06-08,arch
BioBot,Municipal,MWRA Southern,134581.0221142857,7,Detected,2022-03-09T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2022-03-09,arch
BioBot,Municipal,S.Deerfield WWTP,186927.55660333333,3,Detected,2022-10-05T00:00:00Z,copies/L,Deerfield,MA,Franklin,2024-07-24T00:00:00Z,2022-10-05,arch
BioBot,Municipal,Whitman,1049243.0983537373,4,Detected,2023-08-31T00:00:00Z,copies/L,Brockton,MA,Plymouth,2024-07-24T00:00:00Z,2023-08-31,arch
BioBot,Municipal,SESD-Peabody/Salem Pump,1509106.217190904,4,Detected,2024-03-19T00:00:00Z,copies/L,Salem,MA,Essex,2024-07-24T00:00:00Z,2024-03-19,arch
BioBot,Municipal,Greater Lawrence Sanitary District,1396260.531775,4,Detected,2022-09-13T00:00:00Z,copies/L,North Andover,MA,Essex,2024-07-24T00:00:00Z,2022-09-13,arch
BioBot,Municipal,Pittsfield WWTP,294339.77465000004,4,Detected,2023-03-30T00:00:00Z,copies/L,Pittsfield,MA,Berkshire,2024-07-24T00:00:00Z,2023-03-30,arch
BioBot,Municipal,MWRA Northern,116630.3581342857,7,Detected,2022-02-27T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2022-02-27,arch
BioBot,Municipal,South Hadley Div. of WPC,229294.07543333332,3,Detected,2021-10-20T00:00:00Z,copies/L,Chicopee,MA,Hampden,2024-07-24T00:00:00Z,2021-10-20,arch
BioBot,Municipal,SESD-Peabody Metering Station,1075940.2865902376,4,Detected,2023-08-22T00:00:00Z,copies/L,Salem,MA,Essex,2024-07-24T00:00:00Z,2023-08-22,arch
BioBot,Municipal,Leominster Headworks,688339.620942812,2,Detected,2023-08-17T00:00:00Z,copies/L,Leominster,MA,Worcester,2024-07-24T00:00:00Z,2023-08-17,arch
BioBot,Municipal,Hull WWTF,908297.0898142387,3,Detected,2023-09-07T00:00:00Z,copies/L,Hull,MA,Plymouth,2024-07-24T00:00:00Z,2023-09-07,arch
BioBot,Municipal,MWRA Southern,380043.00820816343,7,Detected,2024-05-22T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2024-05-22,arch
BioBot,Municipal,SESD-Peabody Metering Station,1030638.522375,4,Detected,2022-06-08T00:00:00Z,copies/L,Salem,MA,Essex,2024-07-24T00:00:00Z,2022-06-08,arch
